	intercept	scale	mu	sigma	shift
MN1_a.1x	6.940219552643869	5.747178618332289	4.008733698604584	0.42830398515443957	0.0
MN1_b.1x	6.614000564141561	5.600993159179468	4.023227470362735	0.40672758449197166	0.0
MN2_a.1x	8.047558249769564	5.511030833886524	3.985148324417005	0.4450199114927054	0.0
MN2_b.1x	9.08284855085191	6.207714179716917	3.91312330289833	0.48761281044328275	0.0
MN3_a.1x	8.155211933311172	5.883927391879924	4.02215169766119	0.4401144959480908	0.0
MN3_b.1x	7.802170470772325	5.768763617506989	3.9966726602635543	0.43480575076323275	0.0
MN4_a.1x	8.313839112599219	5.322379875469691	3.9344468858233217	0.434030658610629	0.0
MN4_b.1x	8.322378867595157	5.397618647209418	3.964148607933652	0.44222102134150937	0.0
MN5_a.1x	7.395912362315382	5.196444642905953	3.995638581826648	0.43353480340907635	0.0
MN5_b.1x	7.507190497706422	5.270055338168776	4.006679921467763	0.41215548184604783	0.0
MN6_a.1x	8.259310373033772	5.887562335387198	3.9979443187854327	0.45906319697468057	0.0
MN6_b.1x	8.304600487945153	5.891667070378682	3.9828281927103295	0.47296932819310145	0.0
MN8_a.1x	8.506363121614521	5.945038127651235	3.9601041077801367	0.46397613282806444	0.0
MN8_b.1x	8.075026229364596	5.822602359668609	3.9854052845413706	0.4504666601096831	0.0
MN9_a.1x	7.003775679594855	6.118055856207716	3.998602896327075	0.4501662997364449	0.0
MN9_b.1x	7.65251989746038	6.565949837200142	3.9753711477572775	0.4715680104932779	0.0
MN9_c.1x	8.019204799416642	6.206747101722039	4.00953798687053	0.4492259832857635	0.0
MN9_d.1x	7.291011782797769	6.546875612219535	3.9728997658325715	0.47083789722864494	0.0
MN9_e.1x	7.945893730856618	6.442582017585168	3.9968937376283296	0.4628326236222674	0.0
