	variance	label	P(bad)	P(good)	amplicon median	mean size	lower size	upper size	Chrom: pass	Chrom: gain?	Chrom: loss?	Chrom: fail
MN1_a.1x	0.009525232412313536	good	0.26516149017151003	0.73483850982849	10203	16593	2034	51828	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '14', '15', '16', '17', '18', '20']	['12']	[]	['19', '21', '22']
MN1_b.1x	0.0089015388462294	good	0.2706939414007314	0.7293060585992686	10549	16356	2254	48902	['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '14', '15', '16', '17', '18', '20']	['12', '21']	['1']	['13', '19', '22']
MN2_a.1x	0.011963684254495956	good	0.3983265664187299	0.6016734335812701	9663	16336	1784	52117	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '14', '15', '16', '20']	['12']	['18', '22']	['17', '19', '21']
MN2_b.1x	0.014583141105345854	bad	0.5335635981755755	0.4664364018244246	8186	15376	1297	51772	['1', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '14', '15', '16', '17', '20']	['12']	['2', '18', '22']	['19', '21']
MN3_a.1x	0.011951937466016896	good	0.36350708219611333	0.6364929178038867	10523	17585	2010	56022	['1', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '14', '15', '16', '18', '20']	['2', '12']	[]	['17', '19', '21', '22']
MN3_b.1x	0.011022261971421074	good	0.341994026616342	0.658005973383658	9923	16380	1904	51875	['1', '4', '5', '6', '7', '8', '9', '10', '11', '13', '14', '15', '16', '17', '18', '19', '20']	['2', '12']	['3']	['21', '22']
MN4_a.1x	0.013427710506295196	good	0.49869369961430854	0.5013063003856915	8598	14168	1662	44029	['1', '2', '4', '5', '6', '7', '8', '9', '10', '11', '13', '14', '15', '16', '17', '18', '20']	['12']	['3']	['19', '21', '22']
MN4_b.1x	0.01319233925250515	good	0.47217463702148127	0.5278253629785188	9207	15463	1719	48886	['1', '2', '4', '5', '6', '7', '8', '9', '10', '11', '13', '14', '15', '16', '17', '18', '20']	['12']	['3', '22']	['19', '21']
MN5_a.1x	0.010564519847889711	good	0.35281469362381795	0.6471853063761821	9900	16293	1895	50943	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '14', '15', '16', '17', '18', '20']	['12', '19']	[]	['21', '22']
MN5_b.1x	0.010945866808285527	good	0.35001319742521964	0.6499868025747805	10154	15931	2142	48044	['1', '2', '3', '4', '5', '6', '8', '9', '10', '11', '13', '14', '15', '16', '17', '18', '20']	['12', '19']	['7']	['21', '22']
MN6_a.1x	0.011806540210634788	good	0.3935849696581105	0.6064150303418894	9952	17400	1752	56571	['1', '2', '3', '4', '5', '6', '7', '8', '10', '11', '13', '14', '15', '17', '18', '20']	['12']	['9']	['16', '19', '21', '22']
MN6_b.1x	0.012394894906079616	good	0.4190373623309042	0.5809626376690957	9612	17392	1594	57178	['1', '2', '3', '4', '5', '6', '7', '8', '10', '11', '13', '14', '15', '16', '17', '20']	['12']	['9', '18', '22']	['19', '21']
MN8_a.1x	0.01267938644902695	good	0.42695432509148257	0.5730456749085175	9122	16141	1577	53690	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '13', '14', '15', '16', '17', '18', '20']	['11', '12']	['22']	['19', '21']
MN8_b.1x	0.011246096979034751	good	0.35490775288223014	0.6450922471177699	9669	16558	1754	53087	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '14', '15', '16', '17', '18', '20']	['12']	['22']	['19', '21']
MN9_a.1x	0.009032980142316939	good	0.2605152270585733	0.7394847729414268	9967	17057	1803	54313	['1', '2', '3', '4', '5', '6', '7', '9', '10', '11', '13', '14', '15', '17', '18', '19', '20']	['8', '12', '16']	[]	['21', '22']
MN9_b.1x	0.010242057419890266	good	0.2743164621800199	0.7256835378199801	9448	17036	1591	55940	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '14', '15', '17', '18', '20']	['12', '16']	[]	['19', '21', '22']
MN9_c.1x	0.011305581645127969	good	0.29920240145354354	0.7007975985464564	10222	17453	1858	56088	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '14', '15', '17', '18', '20']	['12', '21']	[]	['16', '19', '22']
MN9_d.1x	0.009456063278666164	good	0.26118420880401266	0.7388157911959873	9395	16909	1573	56333	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '14', '15', '17', '18', '20', '22']	['12', '16']	[]	['19', '21']
MN9_e.1x	0.0107193261274627	good	0.2609390200493399	0.7390609799506601	9928	17519	1743	57122	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '14', '15', '17', '18', '20']	['12']	[]	['16', '19', '21', '22']
