	KL	sub	supra	min_pos	median	mean	lower	upper	classif
1	0.007403040544591955	2.5682975452541443	13.579202635055807	821	8878	15201	1630	49399	Pass
2	0.013520151416436144	2.2943198548101025	12.828907468589655	0	10427	17531	1930	55479	Pass
3	0.010672142871038204	2.9030447969736777	14.166616803857945	0	9512	16127	1757	51977	Pass
4	0.008680045197397748	2.620403320767096	13.50820812096953	1598	11124	19218	1981	62558	Pass
5	0.01022011087604431	2.442633490692158	13.0902626815146	0	10172	17244	1908	54542	Pass
6	0.011915788428826535	2.8705037611759865	14.411265606642095	0	9837	18549	1543	62624	Pass
7	0.009235821017629391	2.8154795337083582	13.733318744759696	1271	9842	16306	1856	51805	Pass
8	0.01356682372526918	3.1036856325957682	13.793108674329863	1598	9659	15790	1880	49590	Pass
9	0.016720892533279363	2.3354696224688354	13.155107626068622	774	10414	19270	1676	64716	Pass
10	0.014427032482640045	2.7454435476638333	14.582769519017074	0	8952	17284	1360	58693	Pass
11	0.01692131052091919	3.1010694077510426	14.496385384805313	1289	10339	17555	1860	55482	Pass
12	0.08317242067880061	3.715595118591505	16.451487105031575	0	7151	12562	1250	40920	Possible gain
13	0.01502497411954321	2.71556289781703	12.861499807972454	407	9003	13963	1923	42274	Pass
14	0.017236715776518356	2.742384057966982	14.16425138531089	1145	10147	17215	1850	54943	Pass
15	0.01722040583079365	3.0359629517187834	13.598314486858236	1529	10029	16914	1881	53980	Pass
16	0.023861273100402963	2.385161178357065	12.508200350354382	0	9639	15809	1866	48971	Pass
17	0.032929168799626395	2.0723524083052967	12.353952404234409	0	9988	15255	2193	45884	Fail
18	0.17513041035531407	0.6527528029970426	9.075894635009831	0	13200	21078	2689	64628	Possible loss
19	0.033120965674083076	2.832882288016732	13.16099063238773	1571	6654	9926	1528	28471	Fail
20	0.024978918438972268	2.5023558817965545	13.820119891134684	1568	10125	18718	1634	62169	Pass
21	0.1692030665984788	4.356670454757362	18.252612909555303	1226	11475	15240	3324	39576	Fail
22	0.07057921444545269	1.778829929367781	11.071163883990565	0	9625	16507	1762	52763	Possible loss
