	KL	sub	supra	min_pos	median	mean	lower	upper	classif
1	0.010760436750576008	2.649226991613242	14.768365172980129	0	8742	16587	1353	56098	Pass
2	0.00665159703518167	2.50866487452764	14.109515937812839	0	9739	17041	1695	55718	Pass
3	0.012097297078397504	2.764050893783324	14.300889269126849	517	9518	16057	1762	50577	Pass
4	0.010240469195304244	2.192238674788313	13.451159743278607	0	10683	17652	2054	55528	Pass
5	0.008792630506048683	2.2895127400693536	13.563031151500647	0	10322	17897	1837	57707	Pass
6	0.008424997517606137	2.5095014992800424	14.00831877357998	0	9274	15842	1695	51221	Pass
7	0.009336140687023686	2.2416552661877187	14.040877496457542	1554	9807	17299	1721	56146	Pass
8	0.0110349039747281	2.470260341468765	14.00660299066147	1312	9966	17573	1753	57223	Pass
9	0.02293215215378384	1.8232468127432382	13.24109882551565	1115	9678	17706	1567	58590	Pass
10	0.017943802529943396	2.0700018132518476	14.087918199662376	1167	8949	15729	1561	51035	Pass
11	0.014537765269804782	2.7015309850980067	14.624173165831621	0	9016	15155	1681	47806	Pass
12	0.06705662507112356	3.4822879007140823	16.93349920671237	0	7981	16124	1126	55323	Possible gain
13	0.017740004193559936	2.2232113750372386	12.82641020700343	0	10298	16361	2139	50658	Pass
14	0.01624544155129424	2.2337149042322197	13.401342780431715	1418	8989	14324	1862	43518	Pass
15	0.016903576650301122	2.5217349154439495	14.030952810096075	1436	9892	17804	1651	59565	Pass
16	0.024193070393000567	2.047465296338613	12.611316829623467	1340	7860	11605	1849	33140	Pass
17	0.024616128147836813	2.1111657572394718	12.71214727527105	0	9414	14979	1920	46106	Pass
18	0.019720818650620715	2.6660862912423564	14.27744317628583	950	11483	19407	2156	61920	Pass
19	0.03759347329317582	2.8151014631145816	13.989221023599024	1598	6864	11141	1362	34860	Fail
20	0.024287570484194547	2.508809115085315	13.795130675658719	818	10115	16887	1932	54105	Pass
21	0.09512039059307176	3.6400711637742544	15.279739577627295	1215	9208	11022	3424	24623	Fail
22	0.08993137351030599	1.4412564072750467	11.861676977882517	0	11308	17791	2356	54746	Possible loss
