	KL	sub	supra	min_pos	median	mean	lower	upper	classif
1	0.010620024875416913	1.1966636270752566	14.396144893854608	0	8153	14601	1377	48045	Pass
2	0.007396376117297115	1.218612019394711	13.891214783689293	1572	9264	17027	1507	57471	Pass
3	0.007666720408282643	0.9991376007658666	14.092212797294525	99	9029	15604	1626	50385	Pass
4	0.013117966100519065	0.676555381344655	13.265740656884809	381	10103	19602	1527	66628	Pass
5	0.014100481786491955	0.6572138460490935	12.917269890475882	408	9419	17416	1505	57775	Pass
6	0.00993266371396827	0.8655984305614819	13.646350963292809	1448	9109	16252	1548	53639	Pass
7	0.009724936096009811	0.8054654502573637	13.762378571728416	1574	9533	16869	1639	56241	Pass
8	0.010071940410851962	0.8728857538249528	13.892510157795972	1588	9730	18973	1483	64924	Pass
9	0.02188693453608438	0.7454206937059444	13.098573186821872	0	10377	17335	1950	54727	Pass
10	0.019814248007076984	0.6547782792273082	14.34436123948602	1550	10001	19486	1491	66942	Pass
11	0.014044350815473986	1.2270605375576453	13.829627053783579	1593	9029	15520	1642	49552	Pass
12	0.05540271466258559	1.7795746317299042	16.03799143815318	0	7522	13247	1304	43204	Possible gain
13	0.040389608794872855	0.5716638039780229	11.319287484866953	0	10314	16738	2052	51811	Pass
14	0.016228441557353954	1.0007743638808035	13.541189420262096	1552	8767	15161	1575	48864	Pass
15	0.0217473131441364	1.2632842530338166	14.657347243611062	1377	10068	18713	1615	62758	Pass
16	0.08861736241418666	1.96817847866782	15.910927837518539	0	7813	13842	1350	45776	Possible gain
17	0.02745906678343179	1.6338101102579596	13.349909276898195	1569	8299	12501	1869	36856	Pass
18	0.027124463620050138	0.6161765532874144	13.256132440396543	0	11548	21842	1789	74474	Pass
19	0.046532060842961194	1.3028130480856994	14.534447695771547	0	6451	10086	1348	30614	Fail
20	0.027926559256467334	0.5941576617283584	13.199049677296276	1379	8692	15644	1438	51672	Pass
21	0.055612448409978504	1.013065817419811	14.005151219365194	112	11131	19577	1920	63632	Fail
22	0.039596698576842296	1.1852139491335851	13.547035981896933	611	9774	15100	2118	44625	Pass
