	1465-caudate_100-neurons_MDA_1_WGSb	1465-cortex_1-neuron_MDA_12	1465-cortex_1-neuron_MDA_18	1465-cortex_1-neuron_MDA_20	1465-cortex_1-neuron_MDA_24	1465-cortex_1-neuron_MDA_25	1465-cortex_1-neuron_MDA_2_WGSb	1465-cortex_1-neuron_MDA_30	1465-cortex_1-neuron_MDA_39	1465-cortex_1-neuron_MDA_3_WGSb	1465-cortex_1-neuron_MDA_43	1465-cortex_1-neuron_MDA_46	1465-cortex_1-neuron_MDA_47	1465-cortex_1-neuron_MDA_5	1465-cortex_1-neuron_MDA_51_WGSb	1465-cortex_1-neuron_MDA_6_WGSb	1465-cortex_1-neuron_MDA_8	1465-cortex_BulkDNA_WGSb	1465-heart_BulkDNA_WGSb
1	-0.06759883027818665	-0.17912687859734916	-0.21522612044808986	-0.1879205975862291	-0.3350110800731465	-0.2324621370974617	-0.1607195469033617	-0.22980752066752225	-0.21465355391870383	-0.1730320699039413	-0.1981563130694061	-0.21118840006951495	-0.15844363416379414	-0.2498624572931288	-0.1986505331784921	-0.17482385137356532	-0.27766595960554774	0.040772931568844754	0.04263941939967077
10	-0.07929531715305359	-0.27054961276246897	-0.26877250099325256	-0.18480084102201133	-0.3032450693829595	-0.2315851119606931	-0.20365971882862446	-0.1747790103873619	-0.2505812551283228	-0.2607588855488774	-0.2167045829744173	-0.29805998959630625	-0.26546836845827537	-0.25453051938863797	-0.24236126300015987	-0.24084260344973904	-0.27835203316008095	0.040302446939872526	0.040900747537838504
11	-0.023691987884216396	-0.12334104908635729	-0.14041237964678066	-0.10459631391748823	-0.14836809808078655	-0.17732861700257777	-0.1492333677323017	-0.13935813250930618	-0.10735698940938043	-0.29250867035440153	-0.0965554213075728	-0.13828841331661934	-0.19042284682017258	-0.14263990010471567	-0.22070852639027969	-0.07268712751313569	-0.2614588305777246	0.04366449433999019	0.04094990195514776
12	-0.013242503804310322	-0.11697033155809675	-0.15138070120559757	-0.18848073522066505	-0.23593261565037982	-0.19315979208208955	-0.15798249839044756	-0.276332956416129	-0.22434845724932984	-0.13354250628073144	-0.1155192123611215	-0.16764179878779323	-0.1593995142627384	-0.2294649783598644	-0.3353917382509245	-0.16656581125121217	-0.2648254778277569	0.03880038348454154	0.03907079796099365
13	0.12114361873678807	-0.06258506440389552	-0.016264373481481617	-0.10919549570697776	-0.12724749974652616	-0.14323223894364756	-0.0893027454107244	-0.3307246583425601	-0.07295424137750219	-0.04678672215568858	-0.09371262520991273	-0.048604964220478795	-0.08709394004859425	-0.13369605376066673	-0.046975877517741085	-0.0519048514138903	-0.2349240021079241	0.040093392776832736	0.034669969904233204
14	-0.032980417279940465	-0.3653310121203765	-0.20480566783290644	-0.16877195487141505	-0.19383380914328663	-0.18637260318656848	-0.18281896301161613	-0.32963097621981013	-0.22533897490191482	-0.16984326757964774	-0.1350424994971556	-0.26115160510341157	-0.08428441394097233	-0.20533566908455783	-0.20234186110267224	-0.088532339266346	-0.2722398295972661	0.0388034684352219	0.03960201200466336
15	-0.0884631906925997	-0.2970195911252004	-0.22342476055867935	-0.23643502689488022	-0.4120363370341465	-0.24132560655601673	-0.2190396908117544	-0.339899259399502	-0.1329740692002835	-0.18176457054461323	-0.13774865024453595	-0.2412063335599147	-0.22839698024747437	-0.2192904947591051	-0.19415914911742158	-0.20673851178179234	-0.38543174064850205	0.03945121188512607	0.04310282660836531
16	-0.4388911341433507	-0.6048556879341879	-0.5634800507061484	-0.5692375109839385	-0.5665705676786422	-0.4969456209998882	-0.603771920745839	-0.39283672435173883	-0.5364216236214956	-0.5313487893832656	-0.5457197145776678	-0.6258576609577731	-0.5660147853568511	-0.5553636574668367	-0.5578985198464028	-0.5180074556011445	-0.6254436696039254	0.03340164563783753	0.039165422246349585
17	-0.6987074096627643	-0.7910909121909349	-0.6505781579006105	-0.7425574787626527	-0.5523212723433916	-0.6708658205174237	-0.6547870826137756	-0.6727207125962014	-0.7550258505677644	-0.7753376514421907	-0.7163947953621057	-0.7099584515434234	-0.6710556031574307	-0.6366834252108344	-0.6423979391817498	-0.7459817331601393	-0.8434218102655541	0.030481164011228783	0.04218884218869385
18	0.06942019125927404	-0.16117189581554578	-0.08061587347854975	-0.15526378806812768	-0.07996476916409934	-0.08097809402898024	-0.0725560285340118	-0.2836074728437308	-0.03907712342577538	-0.13236799968640245	-0.029287506244980034	-0.05917866221807395	-0.10213500593158101	-0.07498839332828121	-0.20678373464553665	-0.08368478211754425	-0.20355027250533714	0.041805622175087626	0.03727449696567688
19	-1.4097851595575654	-1.2001435766282609	-1.2682882620212097	-1.1720500748512959	-1.3543436153579906	-1.126179031567706	-1.153516724917763	-1.3008722503820094	-1.151296609507435	-1.184197964363421	-1.2518710950169238	-1.0734990159025628	-1.2686866309818339	-1.1069774906896748	-1.0348602554265773	-1.1440508622947725	-1.3622585400455596	0.01755520314759843	0.03831088221222046
2	0.03165307065864658	-0.097190838041567	-0.14081158491166365	-0.07069586395145366	-0.07488047891562707	-0.16755682895193427	-0.10098989846737132	-0.06600595571013704	-0.07722757879764693	-0.13236733336368825	-0.07273845584607347	-0.11637304403567966	-0.20412543149613283	-0.12242394684040891	-0.16280482121638928	-0.10541997479753923	-0.13037316204648858	0.04160252991936198	0.03898119218273136
20	-0.33270262529718747	-0.5106535668500851	-0.5484801824597598	-0.4444769661965273	-0.4892522427013748	-0.40261800322205354	-0.36058147242342264	-0.42760623135531983	-0.5365919436357446	-0.41551994063677367	-0.3735690177217957	-0.4504535428059205	-0.47131098538723726	-0.3488757848815063	-0.45371991619126134	-0.37463305560850274	-0.5538663212876215	0.040625108256111805	0.04167268005206362
21	-0.05760012103775478	-0.5009127699355511	-0.25102631854943636	-0.2843149030306466	-0.4774711932304172	-0.2715762752751995	-0.2974871076316337	-0.4253851409264818	-0.11284278369672594	-0.2593352317849637	-0.2543625771839533	-0.45290910946048074	-0.29748823260154234	-0.2436687694133591	-0.1875586111966993	-0.3079558642672296	-0.3332623147327217	0.040047950006033735	0.036649921595623434
22	-0.9468990656776972	-0.9406937020646282	-0.8846085484094082	-0.9438606429231361	-0.9255665341301007	-0.9988914519096358	-0.992815344420318	-0.8946128554900027	-0.8538372747006447	-0.895221595225498	-0.8318002490494558	-0.9250356775899597	-0.785469456187653	-0.9070511979635242	-0.9076555521749633	-0.9007795843363456	-1.075685763154563	0.03463763292328979	0.04410590390167723
3	0.05691921408490633	-0.12993020194616478	-0.027296947442079264	-0.06235466344665332	-0.14778798628583648	-0.031712222195045096	-0.08786160870091789	-0.09210162787853532	-0.18653862340111652	-0.10557193541474912	-0.054007576362521084	-0.12435202028419105	-0.06232418352533987	0.02072329778348987	-0.17188189220327457	-0.027852626775296645	-0.14319763096476762	0.04229614385286566	0.038357433993345194
