	MN1_a.1x	MN1_b.1x	MN2_a.1x	MN2_b.1x	MN3_a.1x	MN3_b.1x	MN4_a.1x	MN4_b.1x	MN5_a.1x	MN5_b.1x	MN6_a.1x	MN6_b.1x	MN8_a.1x	MN8_b.1x	MN9_a.1x	MN9_b.1x	MN9_c.1x	MN9_d.1x	MN9_e.1x
chr1	-0.09686791945449569	-0.9894724466568121	0.10647630438195188	0.15855062219543625	-0.029888653912582885	0.038277052050901705	0.07877266769190738	0.08689058936112781	0.015988244645293026	0.08450387842586293	0.047219839617781645	0.10265815160956793	-0.07948940063373966	0.0475119039398475	-0.0009368951560562166	0.03527196952490197	-0.02828516728290298	0.3979409297777474	-0.001858950592873665
chr2	0.0020842043003703736	-0.044673523322043884	-0.3717362369430415	-0.934603085397191	0.8708295279161522	0.9667475390441611	-0.03309924414166554	0.013485227596187865	-0.04961024328024832	-0.026157943251500893	-0.03433483575027818	0.02866572058027783	-0.14428822931615937	-0.07460220446626353	-0.11372886865916776	-0.09552914180841077	-0.08479140298673471	-0.03337233000077067	-0.0797604813727344
chr3	-0.03321452629495791	0.06333469795313995	0.01232641996955719	0.0670104577214865	-0.1956718255961154	-1.065274418207594	-0.5956277756808317	-0.89290468395044	-0.05523013047227954	0.028385593423375877	-0.0037968959744660857	0.0071575268600683195	-0.20826680131742314	-0.04861141413678949	-0.12779514628838573	-0.0555302400394897	-0.07262925376608242	-0.09445390528883468	-0.07939168936454655
chr4	-0.08486601879961064	0.03328008276292982	-0.03702099967679784	0.010954510734735745	-0.14671381246078852	-0.09930957185912392	-0.06767709021776369	-0.04081545791851293	-0.0858845059820883	-0.018843249401222728	-0.036574320464348276	-0.045158984181876916	0.9681496898138473	-0.0414613942103621	-0.15439172599558582	-0.10664704076881493	-0.11400953806089831	-0.20331830154792296	-0.09301474578116631
chr5	-0.09849404121481165	-0.07461585291293416	-0.012500376881499964	0.02939933955010665	-0.16912053591567555	-0.09923176452757243	-0.03398301387417124	-0.015798895299923954	-0.08225162278938747	-0.027383667870966022	-0.02784243460061009	0.018791816257198057	-0.1569115240710337	-0.08747066166641249	-0.12983120181829877	-0.10786100650206665	-0.13764588662419697	-0.13380204714300792	-0.12830967746486865
chr6	-0.04632843557015587	-0.005432483974919133	0.029838107491644283	0.10062168374793612	-0.12596203429605524	-0.02821410630389387	-0.013171909078571353	0.025176120319478024	-0.04274072022222475	0.0011518042059388556	-0.013220298236922279	0.02405363781894776	-0.10117750464562736	-0.020319478598704865	-0.14536447969692468	-0.07206967936156694	-0.05924854413648584	-0.08688301409444765	-0.04886592549338742
chr7	-0.04838021669922976	0.028824897139319905	-0.02651466586690976	-0.010459290737995897	-0.18511573440162254	-0.10444663195286896	-0.049535539140349805	-0.032985848495842074	-0.09883917516376672	-1.0388946766421019	-0.06318452674771002	-0.020096655719381573	-0.2375518619111876	-0.10672697403397224	-0.14877024338593325	-0.10918963378660296	-0.12396295738796503	-0.29373180298487966	-0.09707631786594462
chr8	-0.02114810487776997	0.058652113634660274	-0.003855808734317012	0.10683279945715651	-0.11364311572005947	-0.01898752091347955	-0.00317735340237002	0.0031136754683462886	-0.03633006087711799	-0.022860305483892063	0.009399195352381984	0.008926298852177883	-0.17293198218736228	-0.03609584377123154	0.7340247480406568	-0.08125575634891069	-0.05085453687970931	-0.11073657272107251	-0.10533729016689719
chr9	-0.06237520976923783	0.10040363328774005	-0.024616859900801646	-0.0009770385229894707	-0.17517724965961	-0.10161858230049559	-0.06656049675458475	-0.01938784613804101	-0.06873969524873802	-0.012871452039664444	-1.0258019469275852	-1.0124599776250778	-0.14169676133749087	-0.0815191010686811	-0.11231083886468607	-0.15341836897422878	-0.05995920556161005	-0.31229406155149686	-0.12662131722375825
chr10	0.40518728830256023	0.48981060155592004	0.44034851065074365	0.4726272248347263	0.2939887435243409	0.35827529010646453	0.42641438319682523	0.44493207403022783	0.38355403219660156	0.43361896184946547	0.4349569743730819	0.4304298962851778	0.3059841046261358	0.34102917894461227	0.2956722262143088	0.4069418085636305	0.3771748360044427	0.6177223065522526	0.3663765137191528
chr11	0.015867129702960003	0.0753107460014597	0.1394980522973226	0.17797884697485755	-0.005838264414021133	0.09563827484122056	0.12272888774032786	0.10815030096208833	0.04636704822087889	0.0936817511446395	0.0390979353906018	0.11998468881403834	1.1995307551636443	0.07532011829698071	-0.014268192772402877	-0.028361186611894684	0.019862396236117075	0.23570729171732463	-0.010594774920164696
chr12	0.9384978673365802	1.1210963651487797	1.0748053431188493	1.1254207416894777	0.9376470964592074	1.0282678341793332	1.0533741268917955	1.084968284583948	1.0515920063335615	1.0780412323712962	1.030467151872502	1.0281851298353177	0.8746328996572226	1.019801444296892	0.8824948693910897	1.023290246423863	0.9971179355724304	2.4309051158170556	0.9714261345344011
chr13	-0.16705575686030993	-0.21107273097726997	-0.11054647012927465	-0.06125955203953759	-0.24691153443995173	-0.19348539402367804	-0.13409805348376325	-0.1049059202901943	-0.17726548048473356	-0.14461755900445583	-0.12308698416644726	-0.13520618110690674	-0.31831482828508895	-0.19437693377793774	-0.2268831483518885	-0.1628348909918329	-0.22002720491557426	-0.7403373892114593	-0.19730090385238297
chr14	-0.00764833898942574	0.07311636473375982	-0.022453400464371054	0.03826889700831604	-0.08483054624988862	-0.0757651367573744	-0.03517203904959976	0.006386285279288195	-0.03581674062374107	0.03176740086678187	-0.011361550612103866	-0.03350770603540365	-0.15771034822810304	-0.07121191779077218	-0.09318159427481376	-0.06286911215410562	-0.0970117670510997	-0.0913642579007643	-0.04637337110477224
chr15	0.018160203607199943	0.04494969943023985	0.01051783896260039	0.04340834198647037	-0.10996818521992813	-0.014457696799032416	-0.03722917955071958	0.02106335516158797	-0.04191399481151148	0.012552792784607636	0.038976448874842085	0.018890219754098325	-0.1424398000938969	-0.003301346355461643	-0.06537216461371864	-0.0764519866455724	-0.10094727331533981	0.05376921552998315	-0.06685217155661105
chr16	-0.048762975444011536	0.005456239525099882	-0.05327360615739951	-0.00032680598946432937	-0.14570837004265202	-0.11793057789031369	-0.058929204508497035	-0.04733301709427784	-0.07503499156038451	-0.005345545928450157	-0.08432113718132217	-0.02587810294184001	-0.20680118336079611	-0.07552384220405806	0.891399158057105	0.8980721123045261	0.9368128422991595	1.5652773011788321	0.9083511384617666
chr17	-0.23152826918554892	0.022284501920430078	-0.14793719360443225	-0.11049532984339017	-0.2687527606478901	-0.18678098993586656	-0.18549576620050612	-0.11728943924225921	-0.09625879209639843	-0.06059505226262818	-0.13778902922111724	-0.0833571661098369	-0.26231427044799327	-0.20249965338719522	-0.23622635279610793	-0.14166817176774593	-0.15724153799057072	-0.18622810646078314	-0.22801380368125623
chr18	-0.09891146784885385	-0.10316197540789185	-1.0504354699336425	-0.9625967015655509	-0.18708610075431809	-0.12987668584820833	-0.03668062973688535	-0.06159681799538608	-0.14105809001790615	-0.033842305849331566	-0.08568229176750619	-1.03079961268238	-0.19721110567958355	-0.11611462708622056	-0.1726804502617023	-0.08090043262268143	-0.18723012367450576	-0.6321477260681476	-0.14543159439792053
chr19	-0.26151119451659777	0.07563439866998012	-0.07406057636124874	-0.03282194844802366	-0.1881639905637731	-0.08812484159814193	-0.07863979505111662	-0.07587775937278707	-0.12708487150750947	-0.014259886715831005	-0.04737779877998527	0.04095736208339806	-0.16270464988199151	-0.09311307349578435	-0.12039428589394152	-0.06281854839656553	-0.02506529183663897	-0.6811305007878019	-0.061030799133612756
chr20	-0.04476931373757975	0.08691833822208972	-0.00986574274898766	0.08597796458129747	-0.1330870768351078	-0.0733013562081406	0.028966452811814314	0.002062043265048885	-0.019656158558833514	-0.024129365945445347	-0.008238417022276234	0.0015622379157602673	-0.14893246547514938	-0.06860995450843843	-0.10152214909355317	-0.09198271315466533	-0.03861353002782186	-0.49226045891830594	-0.11302696394636547
chr21	-0.08195424225728476	0.002413370783739932	-0.15296616478265213	-0.06314071770756446	-0.2675367028476512	-0.20196333067096295	-0.0915663913137319	-0.12419204359819713	-0.23066273009615013	-0.1631541066936104	-0.12220184278470336	-0.09683241239486495	-0.3033329407929042	-0.2075306663404617	-0.22146057238447447	-0.17709165349656075	-0.22977962845179345	-0.6518242379368413	-0.25864394480082176
chr22	0.02960980948938019	0.09144809386922015	-0.018540846342026462	-0.038658113113413606	-0.14589655346449226	-0.054673273199380645	-0.08116007365150635	-0.02129717135754383	-0.02990822289473316	-0.007730289205723384	0.04020672668859193	-0.016942509678660844	-0.24323493207174485	-0.09092744141415876	-0.13570008601390304	-0.07953358754961082	-0.1320926627135175	-0.35754135455377867	-0.041449496141343634
chrX	0.28695920547855014	0.4523728201071102	0.42979315096127957	0.5246703399848627	0.3408790696665358	0.3644128548689882	0.414946316604365	0.4107353532481177	0.34097303535619217	0.3541605439857882	0.47369565965329175	0.4468118602180984	0.23470102464836717	0.3747711990340856	0.3000724520789966	0.3271021924524984	0.34304184482707667	0.0073226690538801265	0.3226216097699379
chrY	-1.9770068276828765	-1.9729446857461856	-2.022618465580198	-1.933071720941083	-2.1150064267137836	-2.1172957011174622	-2.0211207573026435	-1.9703563190880449	-2.072706398154259	-2.026970631213208	-1.9749030905237892	-1.9698751210790475	-2.1749720798686734	-2.0724665921038294	-2.1233123626385138	-2.0699425065794896	-2.081517105127479	-4.628561944022224	-2.0841533420405907
